epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,9150.05,0.71665,0.5412,1.02632,0.71197,0.66971,0.67812,0.51934,1.28459,1.35288,1.4416,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054
51,9324.02,0.70186,0.52832,1.01819,0.72952,0.65233,0.67667,0.51667,1.31117,1.40917,1.47667,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
52,9504.45,0.70007,0.52466,1.02451,0.77292,0.63088,0.67381,0.51975,1.29115,1.39863,1.45373,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056
53,9718.85,0.70813,0.53344,1.0204,0.70832,0.67814,0.67967,0.52493,1.28637,1.39925,1.45154,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
54,9935.65,0.70591,0.52096,1.01795,0.75622,0.64325,0.6776,0.52542,1.29716,1.42804,1.45132,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058
55,10084.4,0.69353,0.5159,1.0116,0.73459,0.66071,0.67335,0.51848,1.30415,1.41766,1.47728,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
56,10257.9,0.69079,0.51248,1.0113,0.76118,0.65099,0.67707,0.52351,1.29594,1.41447,1.46402,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606
57,10420,0.69424,0.51874,1.01055,0.72549,0.6408,0.67089,0.52035,1.29702,1.40804,1.46634,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
58,10615.9,0.67933,0.50558,1.00336,0.70525,0.65588,0.67229,0.52096,1.31206,1.40693,1.48518,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063
59,10770.5,0.6814,0.50458,1.01176,0.70687,0.67632,0.65975,0.51017,1.30034,1.44018,1.47376,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
60,10970.3,0.67703,0.49665,1.0032,0.72491,0.65727,0.67658,0.52172,1.29525,1.39555,1.47382,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065
61,11180.7,0.67066,0.48377,1.00188,0.74708,0.65009,0.68264,0.52498,1.28726,1.4621,1.47146,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
62,11352.4,0.6722,0.49057,1.00294,0.746,0.66596,0.68601,0.52958,1.29778,1.41396,1.47477,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067
63,11496.4,0.65557,0.48015,0.99371,0.73715,0.65907,0.67756,0.52557,1.29901,1.44479,1.47786,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
64,11696.3,0.65524,0.47756,0.9901,0.73199,0.66533,0.68714,0.53359,1.29391,1.42999,1.47325,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069
65,11865.2,0.65553,0.47446,0.99631,0.74805,0.65883,0.66998,0.5212,1.3073,1.4226,1.47889,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
66,12057.2,0.64584,0.46392,0.98681,0.7569,0.65356,0.67008,0.51922,1.314,1.46526,1.49981,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071
67,12218.3,0.64367,0.46052,0.98561,0.74411,0.64866,0.6641,0.5157,1.30068,1.44939,1.48175,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
68,12411.3,0.64234,0.46411,0.98337,0.73633,0.65483,0.68082,0.52417,1.31333,1.41882,1.5028,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074
69,12588.4,0.63031,0.45492,0.98224,0.75651,0.63895,0.67655,0.52429,1.30998,1.45604,1.49324,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
70,12796.4,0.63078,0.45614,0.97905,0.74214,0.65171,0.67059,0.52064,1.31164,1.44182,1.50674,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076
71,12942.9,0.62626,0.44875,0.97982,0.73459,0.6554,0.67412,0.52229,1.31436,1.45601,1.49483,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
72,13137.9,0.62547,0.44993,0.98075,0.77244,0.6349,0.66983,0.51976,1.29056,1.44935,1.47927,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078
73,13344.8,0.62118,0.44362,0.97999,0.77743,0.64932,0.68285,0.52667,1.30452,1.45117,1.47525,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
74,13576.8,0.62396,0.43829,0.97265,0.76004,0.64372,0.67456,0.5236,1.31393,1.43813,1.49274,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808
75,13759.7,0.615,0.43742,0.97652,0.77488,0.6218,0.67156,0.52635,1.3083,1.48117,1.48809,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
76,13964.6,0.61322,0.43181,0.97064,0.75055,0.6454,0.67086,0.52663,1.29094,1.43649,1.48134,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083
77,14176.1,0.60822,0.43617,0.96992,0.73644,0.65264,0.67694,0.53136,1.298,1.43485,1.48396,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
78,14432.8,0.6104,0.43829,0.97323,0.76887,0.63313,0.67531,0.5286,1.28507,1.43036,1.47915,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085
79,14604.5,0.60342,0.42583,0.96759,0.75519,0.6505,0.67571,0.53107,1.28925,1.44959,1.48372,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
80,14791.7,0.5996,0.42229,0.96506,0.76978,0.64815,0.67677,0.53105,1.29268,1.46132,1.48385,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087
81,14981.3,0.60524,0.433,0.96792,0.75147,0.65128,0.67737,0.52975,1.28897,1.44604,1.48108,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
82,15132.2,0.60431,0.42297,0.96629,0.74982,0.66031,0.67797,0.53309,1.29487,1.45332,1.48863,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089
83,15287.5,0.59786,0.42245,0.96127,0.76671,0.65293,0.67847,0.53073,1.28743,1.45886,1.48213,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909
84,15471.5,0.59449,0.42068,0.96621,0.73466,0.66316,0.67719,0.53157,1.29931,1.42487,1.49773,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091
85,15667.5,0.57243,0.40973,0.95607,0.7511,0.64842,0.67907,0.53523,1.29337,1.44676,1.49247,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
86,15863.8,0.57516,0.4076,0.96043,0.7307,0.66293,0.6767,0.53221,1.29124,1.45905,1.49182,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094
87,16043.1,0.57409,0.40847,0.95801,0.74298,0.65482,0.68199,0.5335,1.29101,1.45347,1.49217,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095
88,16240.2,0.57575,0.4063,0.95335,0.72114,0.66412,0.67451,0.52797,1.30978,1.46981,1.50968,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096
89,16423,0.57479,0.40599,0.95594,0.76168,0.64606,0.67856,0.53278,1.30713,1.48295,1.5054,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
90,16661.2,0.56949,0.40341,0.95902,0.74978,0.65903,0.6769,0.53189,1.30124,1.48334,1.50112,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098
