epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,17254.8,0.61441,0.41871,0.95556,0.73722,0.62691,0.64387,0.4822,1.37999,1.45672,1.58965,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
92,17318.3,0.56606,0.36791,0.9309,0.77465,0.61433,0.65884,0.49596,1.35723,1.4441,1.54388,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101
93,17382.3,0.55447,0.3474,0.92565,0.75298,0.62637,0.66401,0.5018,1.35594,1.4454,1.55457,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
94,17446.2,0.54489,0.33771,0.91427,0.77591,0.61807,0.66661,0.50452,1.34904,1.43809,1.55299,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05
95,17520.3,0.53491,0.33312,0.91178,0.73712,0.63883,0.66468,0.50474,1.34419,1.4444,1.54279,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05
96,17584.2,0.53481,0.32951,0.90872,0.72589,0.64418,0.66565,0.50587,1.34629,1.44828,1.54252,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05
97,17647.4,0.53385,0.32983,0.90965,0.74003,0.63949,0.66615,0.50712,1.33804,1.44899,1.53187,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
98,17710.7,0.52258,0.32377,0.90417,0.7552,0.63733,0.67037,0.50873,1.3461,1.45298,1.54483,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05
99,17773.7,0.52316,0.32286,0.90608,0.74308,0.6397,0.66851,0.50833,1.34419,1.44578,1.53943,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05
100,17836.8,0.53174,0.32825,0.91109,0.76096,0.63194,0.67126,0.50892,1.34864,1.42994,1.5499,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05
